feature,score,normalized_score,importance,normalized_importance,combined_score
x783,4.482577801680557,0.016374266066906992,0.0011735285813382502,0.004435402575316513,0.010404834321111753
x42,2.5800590006917155,0.009424615570488418,0.0029155683401196368,0.011019517998897868,0.010222066784693142
x568,5.167324831127954,0.01887555674043246,0.00034546595430037753,0.001305703676718903,0.01009063020857568
x225,4.908728618547622,0.01793093884956232,0.0005403700347246317,0.0020423521691379063,0.009986645509350113
x366,5.130250283277662,0.01874012830222814,0.0003242116436197102,0.0012253720803447393,0.00998275019128644
x406,4.793672841828929,0.017510655257424734,0.0006349393308409747,0.002399780958014926,0.00995521810771983
x505,5.021054607324666,0.018341250886036997,0.0003189871219539475,0.0012056257723130292,0.009773438329175013
x660,4.4724944947448275,0.01633743307528819,0.0008174246127211679,0.0030894920584346214,0.009713462566861406
x650,4.6635243954139005,0.017035240131557803,0.0006089316576733173,0.0023014838203224875,0.009668361975940145
x393,4.730834986166187,0.017281116850459462,0.0005414955774560142,0.0020466062070955584,0.00966386152877751
x705,4.76430559323059,0.017403380567842786,0.0004585476912137154,0.0017331010448807577,0.009568240806361771
x760,4.748410578609605,0.017345318173823926,0.00046038041988813607,0.0017400279230255678,0.009542673048424747
x202,3.9833353025790537,0.014550598999905765,0.00118844244393907,0.00449177017099293,0.009521184585449347
x392,5.104819275980706,0.018647232183465028,9.665512131465506e-05,0.00036531225639828207,0.009506272219931654
x280,4.451065270385935,0.01625915494230667,0.0003619710031266056,0.0013680852302947813,0.008813620086300726
x727,4.632611401303999,0.016922319037295817,0.000165566852923385,0.0006257671585689026,0.00877404309793236
x404,4.056500507822204,0.014817861854114798,0.0007068051602194971,0.002671401001848251,0.008744631427981524
x579,3.8450136682931406,0.014045328295678878,0.0008399869674856913,0.003174767464606367,0.008610047880142623
x302,3.9978542400383623,0.014603634765370533,0.0006092496003145802,0.002302685498434368,0.00845316013190245
x510,3.9779225600257107,0.014530826964563315,0.0006151544999807887,0.002325003324862268,0.008427915144712791
x592,4.315164152830673,0.01576272606675975,0.0002824760691859738,0.0010676306522539032,0.008415178359506828
x795,4.217431657227505,0.015405722137951395,0.00032936794342381607,0.0012448605408679203,0.008325291339409659
x166,2.1325353166091507,0.0077898705200705395,0.002300077238590919,0.008693242473770279,0.008241556496920408
x587,2.9438343302599606,0.010753438916888354,0.0014941024577917504,0.005647025555627396,0.008200232236257874
x527,3.5023242093493323,0.012793528856310174,0.0009178924557319734,0.0034692146631610083,0.00813137175973559
x79,4.064300591398067,0.014846354531646778,0.00030175906776342564,0.0011405115883557932,0.007993433060001286
